matched_term,file_name,match_line_number,know_option,think_option,verb,force,comp,subj,unique_id,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set
you know what this is ?,patricia_mothertoy.cha,1520,know,think,know,interrogative,interrogative,2,6.124,patricia,mother,"*MOT:	so we can pretend that's our house, right?",*MOT:	we can pretend that we're at home?,*MOT:	&uh oh [laughs].,*CHI:	yes .,*CHI:	oops.,*MOT:	and then  and then we can go shopping and when we come home we,*CHI:	this be yours and this be somebody else's.,"*MOT:	okay, thank_you .",*MOT:	here .,*CHI:	what's   what's the other xxx .,*MOT:	you know what this is?,"*MOT:	this is play money ., okay ?",*CHI:	oh .,511
do you know where she went ?,katie_fathertoy.cha,2243,know,think,know,interrogative,interrogative,2,6.2,katie,father,*FAT:	where do you think he went?,*CHI:	she went away.,"*FAT:	oh, now  now it's a girl okay.",*CHI:	&hmm?,*FAT:	where did she go?,*CHI:	where she go?,*FAT:	mhm.,"*CHI:	oh, she go all_gone.",*FAT:	all_gone?,*FAT:	can you .,*FAT:	do you know where she went?,"*CHI:	no, where was she gone .","*FAT:	okay, let's  turn the page and maybe we can find her.",511
well it's like spaghetti but you know what this is called ?,helen_fathertoy.cha,1801,know,think,know,interrogative,interrogative,2,6.123,helen,father,*FAT:	oh xxx.,*CHI:	it's fifty nine cents cause I did it.,*CHI:	I pressed .,*CHI:	I did it fifty nine cents.,*FAT:	okay what else should we get?,*CHI:	&uh buy some cookies.,*FAT:	oh you know what I see back there?,*CHI:	what?,*CHI:	&uh spaghet  spa .,*CHI:	those.,*FAT:	well it's like spaghetti but you know what this is called?,*CHI:	what?,*FAT:	lasagne noodles.,511
"oh , you know what's in here , Helen ?",helen_mothertoy.cha,1745,know,think,know,interrogative,interrogative,2,6.02,helen,mother,*MOT:	and:   let's see.,*CHI:	I like xxx  Mom?,*MOT:	do you know what this is?,*CHI:	powder.,*MOT:	yeah.,*MOT:	that's right.,*MOT:	soap powder.,*CHI:	for babys?,*MOT:	uhhuh.,*MOT:	and .,"*MOT:	oh, you know what's in here, Helen?",*CHI:	what's these?,*MOT:	look_it.,511
you know whatcha [: what you] hafta do ?,charlie_mothertoy.cha,2152,know,think,know,interrogative,interrogative,2,6.091,charlie,mother,*MOT:	that's right.,*CHI:	you have xxx.,*MOT:	&hmm?,*CHI:	xxx.,*MOT:	where did this come from?,"*MOT:	oh, I know.",*MOT:	I think that that sets the car up.,*MOT:	so_that if we get the tire out .,*CHI:	yeah?,*MOT:	we could change that tire if we want.,*MOT:	you know whatcha  hafta do?,*MOT:	you hafta unscrew it first.,*MOT:	that's a boy.,511
you know how they're gonna fit ?,guy_mothertoy.cha,722,know,think,know,interrogative,interrogative,2,6.174,guy,mother,*MOT:	will they?,*CHI:	will these fit?,*MOT:	I don't know.,*MOT:	you could try it.,*CHI:	yes.,*CHI:	they do fit.,"*CHI:	Mom, you hold these and put in.",*MOT:	put em in where?,*CHI:	there.,*MOT:	no I don't think .,*MOT:	you know how they're gonna fit?,"*MOT:	the only way they're gonna fit, sweetheart, is if we  if we",*MOT:	flip it over.,511
do you know what this is ?,isadora_fathertoy.cha,541,know,think,know,interrogative,interrogative,2,6.233,isadora,father,*FAT:	that's Sanka.,*FAT:	oh.,*FAT:	we can't make it.,*FAT:	this is a diet shake.,*FAT:	strawberry diet shake.,*FAT:	okay.,*FAT:	so .,*FAT:	let's see.,*FAT:	what else do you have here?,*FAT:	let me see.,*FAT:	do you know what this is?,*CHI:	no.,*CHI:	let's open and see.,511
do you know who that is ?,charlie_fathertoy.cha,314,know,think,know,interrogative,interrogative,2,6.184,charlie,father,*FAT:	for Nestles Quik. ,*FAT:	which is I think forty nine cents this week. ,*FAT:	you owe me one penny ! ,*CHI:	okay are these pennys? ,*FAT:	no you know . ,*FAT:	what's that? ,*CHI:	a quarter. ,*FAT:	that's a quarter. ,*FAT:	who's on . ,*FAT:	who is that by the way? ,*FAT:	do you know who that is? ,*FAT:	who's our good buddy on the quarter? ,*FAT:	Tom . ,511
I think it's out .,bobby_fathertoy.cha,2360,know,think,think,declarative,declarative,1,2.364,bobby,father,*FAT:	gonna take it apart. ,*FAT:	let's take the tire out first. ,*CHI:	okay. ,*FAT:	you gonna do it? ,*CHI:	&hmm. ,*FAT:	the other way. ,*FAT:	that's it out. ,*FAT:	use two hands if you want. ,*FAT:	it'll be easier. ,*FAT:	okay. ,*FAT:	I think it's out. ,*FAT:	see if you can lift it out. ,*FAT:	the other way. ,511
"oh , I thought this was part of the project .",katie_mothertoy.cha,2458,knew,thought,think,declarative,declarative,1,2.203,katie,mother,*MOT:	want me to try it Katie?,*CHI:	no you cann't try it.,*MOT:	you don't like it?,*CHI:	xxx tomorrow.,*INV:	we'll have another present for you next week.,"*MOT:	oh, that's nice .",*INV:	xxx  interim.,*MOT:	is that really hers?,*INV:	it's really hers.,"*MOT:	oh, how nice.","*MOT:	oh, I thought this was part of the project.",*CHI:	tomorrow Mommy .,*INV:	xxx .,511
I think I have enough now .,theresa_mothertoy.cha,2829,know,think,think,declarative,declarative,1,2.284,theresa,mother,*MOT:	I .,*MOT:	here's my money.,*MOT:	I forgot money.,*MOT:	ten dollar bill.,*MOT:	and how much is that?,*CHI:	&uh.,*MOT:	sir?,*CHI:	five.,*MOT:	five.,*MOT:	okay.,*MOT:	I think I have enough now.,*CHI:	okay.,*MOT:	do you think so?,511
I think that (.) this is supposed to be where the pollen (.) is .,susan_dinner.cha,1501,know,think,think,declarative,declarative,1,2.425,susan,dinner,*CHI:	smell .,*MOT:	said  Andrea it's already . enrolled for next year.,"*CHI:	&wh  Mommy, what are these?",*CHI:	what are these all around it?,*MOT:	&um.,*FAT:	petals.,*MOT:	petals.,"*CHI:	well, why do they have petals?",*MOT:	&mm.,*MOT:	why does a flower: xxx.,*MOT:	I think that . this is supposed to be where the pollen . is.,*MOT:	and the petals are pretty colors that attract bees so they'll come,*CHI:	how can bees make honey in this kind of flower?,511
I think you have_to turn a little more before you use your fingers .,helen_fathertoy.cha,816,know,think,think,declarative,declarative,1,2.067,helen,father,*CHI:	don't  xxx.,*FAT:	now just leave that right there.,*CHI:	for what?,"*FAT:	okay, now: xxx.",*CHI:	now you do this.,"*FAT:	okay, which way do you turn it?",*CHI:	this way.,*FAT:	go on.,*FAT:	which way  is that?,*CHI:	Daddy   .,*FAT:	I think you have_to turn a little more before you use your fingers.,"*CHI:	Daddy, is this the last time?",*FAT:	whoop.,511
I think she went outside .,ursula_fathertoy.cha,3527,know,think,think,declarative,declarative,1,2.394,ursula,father,*CHI:	keep trying.,*CHI:	let's go back to fixing this.,*CHI:	an if you can't get the screw out this out.,*CHI:	I can't xxx this doesn't work.,*CHI:	where's the lady?,"*FAT:	which lady, hon?",*CHI:	what?,*CHI:	&um Janet.,*FAT:	where is she?,*CHI:	yeah.,*FAT:	I think she went outside.,*FAT:	she'll be back later.,*FAT:	she'll come back and see use I'm sure.,511
I think that's supposed to be powered cream .,susan_mothertoy.cha,556,know,think,think,declarative,declarative,1,2.241,susan,mother,"*MOT:	would you help me, cause I'm not too sure I can do it.",*CHI:	oh I cann't xxx.,*MOT:	you [laughs].,*MOT:	well here's a tire.,*CHI:	yeah I'm gonna peek under.,*MOT:	you're gonna peek.,*MOT:	okay.,*CHI:	oh see that?,*MOT: [gasp oh look at that].,*CHI:	xxx baby what's in there?,*MOT:	I think that's supposed to be powered cream.,*CHI:	xxx put it together.,*MOT:	you don't know how .,511
I think the one that you have at home would work better .,david_mothertoy.cha,1650,know,think,think,declarative,declarative,1,2.229,david,mother,*MOT:	it even has a motor.,*MOT:	wow.,*MOT:	and +/.,*CHI:	xxx.,*CHI:	where's xxx .,*MOT:	and &uh here's a screw  here honey.,"*MOT:	and the  those are the  the headlights, right?",*CHI:	yeah.,*CHI:	what's in there?,*MOT:	that's an awful big screwdriver.,*MOT:	I think the one that you have at home would work better.,*CHI:	mean my toy one?,*MOT:	mhm.,511
I think it's catching .,frank_fathertoy.cha,558,know,think,think,declarative,declarative,1,2.351,frank,father,*CHI:	I need  the screw.,*FAT:	we'll put it in the groove.,*FAT:	look .,*CHI:	&hmm ?,*FAT:	like that.,"*CHI:	you hold the wheel, okay?",*FAT:	okay.,*CHI:	and I'll screw it.,*CHI:	is it the right way?,*FAT:	yeah.,*FAT:	I think it's catching.,*FAT:	let me .,*FAT:	there it is.,511
I think that would be the hardest part .,david_mothertoy.cha,1371,know,think,think,declarative,declarative,1,2.435,david,mother,*MOT:	wait a minute.,*MOT:	I gotta do a little bit more.,*MOT:	it's still tight.,*CHI:	xxx.,*MOT:	okay.,*MOT:	now you could do it.,*MOT:	do you know how to put this car back together again when you're,*CHI:	no.,*CHI:	you could take it apart.,*MOT:	oh.,*MOT:	I think that would be the hardest part.,*MOT:	putting it back together again.,*MOT:	huh?,511
and I think she's all excited and alarmed right here .,charlie_fathertoy.cha,2325,know,think,think,declarative,declarative,1,2.396,charlie,father,*CHI:	yeah. ,*FAT:	yeah? ,*FAT:	is that a possibility? ,*CHI:	yeah. ,*FAT:	&uh oh what's happening here? ,*FAT:	can you tell what happened? ,*CHI:	she  she's running out and hiding. ,*FAT:	the cat's running out and hiding. ,*FAT:	that mischievous cat. ,*FAT:	and she's picking a flower. ,*FAT:	and I think she's all excited and alarmed right here. ,*FAT:	“oh where's my cat” she says. ,*FAT:	and who's this over here? ,511
"I think it was the one that [//] was the one we had on , at eighteen eighty one creeping .",katie_dinner.cha,933,know,think,think,declarative,declarative,1,2.331,katie,dinner,"*AUN:	oh, how did the Bruins hockey xxx doing in the half . whatcha",*MOT:	[laughs].,*AUN:	periods?,*MOT:	what'd he think of the place?,*AUN:	thought it was very nice.,"*MOT:	he'd never been here, had he?",*AUN:	I don't believe so.,*MOT:	no?,*CHI:	xxx.,*MOT:	I'm trying to think the last party he got asked to .,"*MOT:	I think it was the one that  was the one we had on, at eighteen eighty one creeping.",*FAT:	was he there?,*AUN:	no.,511
I think you tightened it up .,william_mothertoy.cha,176,know,think,think,declarative,declarative,1,2.053,william,mother,*CHI:	oh.,*CHI:	xxx .,*MOT:	I don't know  if it really comes out.,*MOT:	maybe it does.,"*MOT:	well, that's right.",*MOT:	you hafta . unscrew it.,*MOT:	you were gonna use the screwdriver.,*CHI:	xxx.,*MOT:	xxx.,*CHI:	I did it [grunts].,*MOT:	I think you tightened it up.,*MOT:	think maybe it's easier to take it out with your hands.,*MOT:	ya want me to help?,511
"well , I think they're all empty .",patricia_mothertoy.cha,1164,know,think,think,declarative,declarative,1,2.169,patricia,mother,*MOT:	mhm.,*CHI:	are these closed?,*MOT:	mhm.,*CHI:	tight?,*CHI:	is this the couch?,*CHI:	this the couch?,*MOT:	that's what it looks like.,*CHI:	I put  I put it over here?,*MOT:	mhm.,*CHI:	what's in here?,"*MOT:	well, I think they're all empty.",*MOT:	it's just like a .,*MOT:	it's a pretend store.,511
I think they'll arrange it .,ursula_fathertoy.cha,3724,know,think,think,declarative,declarative,1,2.171,ursula,father,*INV:	you hafta open it up.,*CHI:	open it up .,*FAT:	I think  we'll have_to wait until we go home to open it though,*INV:	yeah.,*INV:	that might be a good idea.,*INV:	you don't wanna spill it.,*INV:	we have another present for the  for the second visit next time,*FAT:	oh there's two.,*INV:	but xxx +/.,*FAT:	oh now when's the second visit?,*INV:	I think they'll arrange it.,*INV:	somebody will be coming in with you to arrange it very shortly.,*INV:	so I hafta get back.,511
do you think there's any chance that she'll try the car again ?,ursula_mothertoy.cha,2846,know,think,think,interrogative,declarative,2,5.07,ursula,mother,"*CHI:	no, candy I meant.",*CHI:	it's good.,*MOT:	yick.,*CHI:	what?,*MOT:	sounds awful.,*MOT:	vanilla wafers in the soup?,*CHI:	no.,*CHI:	I said this to wash clothes.,*MOT:	no that's to wash the floor with.,*MOT:	that's to wash the floor.,*INV:	do you think there's any chance that she'll try the car again?,*MOT:	yeah.,"*INV:	if  if not, it's no  it's no problem but .",511
ya think we'll ever get this back together ?,frank_mothertoy.cha,1398,know,think,think,interrogative,declarative,2,5.027,frank,mother,"*MOT:	oh, were there firemen there?",*CHI:	yeah.,*CHI:	and Andrea was afraid.,*MOT:	Andrea was afraid?,*CHI:	I don't know if we can put it.,*MOT:	&ah.,*CHI:	xxx.,*MOT:	[laughs what else is there to take apart]?,*MOT:	do you think we'll ever get this back together?,*MOT:	here could I use the screwdriver?,*MOT:	ya think we'll ever get this back together?,"*CHI:	oh, no way.",*MOT:	[laughs okay].,511
well (.) do you think it goes in there ?,bobby_mothertoy.cha,1156,know,think,think,interrogative,declarative,2,5.1,bobby,mother,*CHI:	ow.,"*MOT:	okay, alright, how about can I have some coffee?",*CHI:	xxx coffee.,"*MOT:	alright, all I have is four cents.",*MOT:	is that enough?,*CHI:	yep.,*MOT:	okay.,*CHI:	xxx.,*MOT:	alright.,*CHI:	xxx in here.,*MOT:	well . do you think it goes in there?,*CHI:	yeah.,*MOT:	what about all the other money?,511
do you think you can give me back fifty cents ?,isadora_mothertoy.cha,451,know,think,think,interrogative,declarative,2,5.052,isadora,mother,*MOT:	and here's five dollars.,*MOT:	and [noise].,*MOT:	what was .,*MOT:	how much was this now?,*MOT:	this was ten.,*MOT:	and that was five.,*MOT:	and this was .,*MOT:	I don't have fifty cents.,*MOT:	so I'll give you a dollar.,*MOT:	and can you give me back fifty cents?,*MOT:	do you think you can give me back fifty cents?,*CHI:	xxx.,*MOT:	does this open?,511
<do you think it's for that> [<] ?,eddie_mothertoy.cha,2608,know,think,think,interrogative,declarative,2,5.093,eddie,mother,*MOT:	can you figure out how that works?,*CHI:	Mommy . I'll get another penny.,*MOT:	oh you know I think that's supposed to be for a tape.,"*MOT:	you know the tape like the Star_market has, Edward?","*MOT:	it's not for pennys dear or money, it's for tape I think.",*MOT:	remember at the Star_market they give you a little ticket?,*MOT:	and the ticket has all the prices on it?,*CHI:	oh yeah that's .,*CHI:	no the tape comes  right out here.,*CHI:	and  I think the money comes.,*MOT:	do you think it's for that ?,*MOT:	right:  .,*CHI:	out here.,511
do you think he did that on purpose ?,frank_mothertoy.cha,630,know,think,think,interrogative,declarative,2,5.107,frank,mother,*CHI:	up to the dirt pile.,*MOT:	oh I see.,*MOT:	and then climb up there?,*CHI:	yeah.,*MOT:	what's the cat doing?,*CHI:	turn the page.,*CHI:	got his hat wet.,*MOT:	they climb back through the pipe.,*MOT:	and then the little boy gets the cat.,*MOT:	and he puts it on top of the policeman's head.,*MOT:	do you think he did that on purpose?,*CHI:	yeah.,*MOT:	do you think so?,511
you think the policeman's going to be able to find her cat ?,laurel_fathertoy.cha,394,know,think,think,interrogative,declarative,2,5.011,laurel,father,*FAT:	yeah.,*FAT:	look at the leaves.,*FAT:	oop.,*FAT:	she's .,*FAT:	&wh what's she doing?,*FAT:	what's she doing?,*FAT:	there's the policeman right here.,*FAT:	is she going to tell the policeman that her cat's missing?,*CHI:	yeah.,*FAT:	yeah.,*FAT:	you think the policeman's going to be able to find her cat?,*CHI:	yeah.,*CHI:	there he is.,511
do you think he's going to be the hero of this story ?,charlie_fathertoy.cha,2595,know,think,think,interrogative,declarative,2,5.102,charlie,father,*CHI:	&hmm? ,"*FAT:	all these guys, the policeman and the lady are going in this end",*FAT:	and if it comes out the other end then they're going to fall into,*FAT:	and the cat's sitting up here and the cat's going to laugh. ,*CHI:	and  and  and he's sitting up there. ,*FAT:	&ah that's right. ,*FAT:	he's Batman. ,*FAT:	and I think it's going to turn out that he knows better than the,*FAT:	what do you think? ,*CHI:	yeah. ,*FAT:	do you think he's going to be the hero of this story? ,*CHI:	yeah. ,"*FAT:	&uh oh [laughs what happened here,]&hmm? ",511
do you think you know how ?,ursula_mothertoy.cha,717,know,think,think,interrogative,declarative,2,5.043,ursula,mother,*CHI:	I'm all done now.,*MOT:	oh you're all done?,*MOT:	you're not .,*CHI:	now can you   .,*MOT:	are you gonna put it back together again?,*CHI:	yeah.,*MOT:	wow.,*CHI:	can you help me?,*MOT:	can you do that really?,*CHI:	no.,*MOT:	do you think you know how?,*MOT:	I don't  I don't even know if I do.,"*CHI:	no, no !",511
do you think you're talking more than you usually talk because the tape recorder's on ?,theresa_dinner.cha,1327,know,think,think,interrogative,declarative,2,5.031,theresa,dinner,*CHI:	and  you know what?,*MOT:	what?,*CHI:	and  and  and .,*MOT:	what honey?,*CHI:	and we made pictures and we .,*FAT:	I think  I think Theresa's really hamming it up tonight.,*MOT:	yep.,*CHI:	and then we left .,*MOT:	tell  me something.,*CHI:	what.,*MOT:	do you think you're talking more than you usually talk because the tape recorder's on?,*CHI:	yeah.,*FAT:	I think so too .,511
do you think you'll be able to put this car back together ?,helen_mothertoy.cha,596,know,think,think,interrogative,declarative,2,5.035,helen,mother,*CHI:	it's in the front end in the be.,*MOT:	uhhuh.,*CHI:	I gotta keep it open.,*MOT:	okay.,*CHI:	these .,*CHI:	why are these two?,*CHI:	when is Sarah gonna play with this truck.,"*MOT:	well, maybe she'll get a turn.",*CHI:	[laughs I did it].,"*MOT:	boy, oh boy !",*MOT:	do you think you'll be able to put this car back together?,*CHI:	[laughs I don't know].,*MOT:	oh.,511
you think you can fix my car next time it breaks ?,laurel_mothertoy.cha,438,know,think,think,interrogative,declarative,2,5.005,laurel,mother,*MOT:	well.,*MOT:	you have_to use a screwdriver.,*MOT:	use the screwdriver.,*MOT:	is it hard to turn?,*MOT:	I bet you can do it.,*MOT:	here.,*MOT:	let's do it together.,"*MOT:	let's turn it this way, Laurie.",*MOT:	this way.,*MOT:	there we go.,*MOT:	you think you can fix my car next time it breaks?,*CHI:	xxx.,*MOT:	very good.,511
you think it sits there and holds up the car maybe ?,wanda_fathertoy.cha,632,know,think,think,interrogative,declarative,2,5.022,wanda,father,*FAT:	what is this?,*FAT:	I don't know what this is.,"*FAT:	okay, go ahead.",*CHI:	what ya hafta do?,*FAT:	I'm not quite sure.,*CHI:	I think you hafta hold that.,"*FAT:	oh, I see what this is.","*FAT:	oh, this was a jack.",*CHI:	what does it do?,*FAT:	I think  I think that's what I thought it was.,*FAT:	you think it sits there and holds up the car maybe?,*CHI:	yeah.,*FAT:	okay.,511
you think they'll be able to follow him in there ?,susan_fathertoy.cha,542,know,think,think,interrogative,declarative,2,5.009,susan,father,*CHI:	&hmm.,*FAT:	he thinks it's a good place.,*CHI:	oh.,*FAT:	I reckon.,*CHI:	why?,*FAT:	maybe he thinks they can't follow him in there.,*CHI:	why?,*FAT:	tsk.,*FAT:	why?,*FAT:	perhaps  perhaps he  he thinks the pipe is too small for them,*FAT:	you think they'll be able to follow him in there?,*FAT:	you do?,"*FAT:	well, we'll see.",511
do ya think it's gonna fit ?,theresa_fathertoy.cha,1174,know,think,think,interrogative,declarative,2,5.112,theresa,father,*FAT:	let's take this one and put it on the back.,*CHI:	okay.,*FAT:	we'll just . change the side of the fenders.,*CHI:	but we don't  but we don't .,*CHI:	but we hafta take off the wheels.,*FAT:	take off the wheels here?,*CHI:	no: that's good.,*CHI:	you could put it back.,*FAT:	lemme see if this is gonna fit here.,*CHI:	yes.,*FAT:	do ya think it's gonna fit?,*CHI:	see?,*FAT:	lemme see the other one.,511
