matched_term,file_name,match_line_number,definite_option,indefinite_option,target,token,force,position,modifier,unique_id,copular_use,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set,factors
we'll have a more substantial gift next time... we're so sorry you had all that trouble.,martin_mothertoy.cha,2701,the,a,indefinite,a,declarative,object,more substantial,10.51,no,martin,mother,MOTHER: \t this lady's named Lise.,"CHILD: \t hi, Lise.","INVESTIGATOR: \t hi, Martin are you having a good time?",CHILD: \t yep.,INVESTIGATOR: \t ...we bringing you a little present because you were so nice to come this time.,INVESTIGATOR: \t you want to see how it works?,MOTHER: \t oh.,CHILD: \t yeah.,"MOTHER: \t oh, look at that.",INVESTIGATOR: \t it's called a sparkler.,INVESTIGATOR: \t we'll have a more substantial gift next time... we're so sorry you had all that trouble.,"MOTHER: \t oh, that's okay.",MOTHER: \t [noise],n/a,indefinite
as they were walking along... Tupty... saw a beautiful red flower and stopped to pick it.,nanette_fathertoy.cha,621,the,a,indefinite,a,declarative,object,beautiful red,10.52,no,nanette,father,CHILD: \t yeah.,FATHER: \t what's the girl's name.,CHILD: \t Tupty.,FATHER: \t Tupty?,CHILD: \t Tupty.,FATHER: \t that's the girl's name?,CHILD: \t yeah.,"FATHER: \t okay, let's see.",FATHER: \t once upon a time Tupty and Puddy went for a walk.,FATHER: \t and Tupty got all dressed up in her mother's clothing she put Tupty... Puddy in the baby carriage just like she was a real baby.,FATHER: \t as they were walking along... Tupty... saw a beautiful red flower and stopped to pick it.,FATHER: \t as she bended down... Puddy... pushed away the blankets and jumped out of the carriage very quickly and quietly so Tupty didn't see him Tupty turned around and [gasp] oh her Puddy was gone.,FATHER: \t she got so worried.,n/a,indefinite
you were right about him climbing up the tree.,nanette_fathertoy.cha,948,the,a,definite,the,declarative,prepositional,n/a,10.53,no,nanette,father,FATHER: \t and she loses her hat.,FATHER: \t it goes on the policeman's head.,FATHER: \t and Puddy... hops back into the pipe... and runs the other way.,"FATHER: \t Tupty and the policeman get out of the water, and they're dripping wet.",FATHER: \t and they come through the pipe.,"FATHER: \t and when they come through the pipe there's... Puddy, who is caught by... the little boy... who was following them.",FATHER: \t remember the boy who was riding... the tricycle.,FATHER: \t and he has Puddy.,FATHER: \t let's go of Puddy.,FATHER: \t Puddy jumps on the policeman's head... and climbs up the tree.,FATHER: \t you were right about him climbing up the tree.,FATHER: \t and the.,CHILD: \t he's climbing up that tree.,n/a,definite
first we have to heat up the water.,nanette_fathertoy.cha,1245,the,a,definite,the,declarative,object,n/a,10.54,no,nanette,father,CHILD: \t tea.,"FATHER: \t oh, tea.","FATHER: \t okay, how do you make...",FATHER: \t who makes tea?,FATHER: \t …what're you going to put in the tea?,FATHER: \t wanna put some milk in?,CHILD: \t milk in.,"FATHER: \t okay, we'll put the milk in.",FATHER: \t there.,FATHER: \t do we have...,FATHER: \t first we have to heat up the water.,FATHER: \t ...use the stove.,FATHER: \t wanna heat up the water?,n/a,definite
"okay, you can fix it yourself that's a screwdriver.",nanette_mothertoy.cha,201,the,a,indefinite,a,declarative,object,n/a,10.55,yes,nanette,mother,MOTHER: \t do you wanna play with this little car?,CHILD: \t yeah.,"MOTHER: \t okay, have you seen a car like this before?",CHILD: \t yeah.,"MOTHER: \t oh, you know what they call this?",MOTHER: \t they call this a convertible because it doesn't have a top.,MOTHER: \t see there's no top on it?,MOTHER: \t those are tools.,MOTHER: \t to fix the car if it gets broken.,CHILD: \t ...I better fix my car myself.,"MOTHER: \t okay, you can fix it yourself that's a screwdriver.",MOTHER: \t lemme see.,"MOTHER: \t I think it might fit in here, but you can try it and see.",n/a,indefinite
you want to pretend you're... playing in the store ?,olivia_fathertoy.cha,66,the,a,definite,the,interrogative,prepositional,n/a,10.56,no,olivia,father,FATHER: \t ya want me to take this off?,FATHER: \t do you know what this is?,CHILD: \t yeah.,FATHER: \t okay.,CHILD: \t [noise],"FATHER: \t oh look, Livie.",FATHER: \t what is what is it?,CHILD: \t got [noise] tea set.,FATHER: \t right.,"FATHER: \t it's a store, isn't it?",FATHER: \t you want to pretend you're... playing in the store ?,CHILD: \t yeah.,CHILD: \t you be…,n/a,definite
do you wanna read a story or play with this?,olivia_fathertoy.cha,1151,the,a,indefinite,a,interrogative,object,n/a,10.57,no,olivia,father,FATHER: \t it's meant to be oatmeal which is kind of like rice.,FATHER: \t now.,FATHER: \t do you wanna see what else is there?,FATHER: \t I'll get you another one.,FATHER: \t it's a doggie.,FATHER: \t yeah.,CHILD: \t dog dog dog [giggle] dog. [giggle],FATHER: \t listen.,FATHER: \t I'll get you something down from here. [noise],FATHER: \t what do you wanna do?,FATHER: \t do you wanna read a story or play with this?,CHILD: \t I want this.,FATHER: \t this?,n/a,indefinite
she hided behind a tree.,olivia_fathertoy.cha,2446,the,a,indefinite,a,declarative,prepositional,n/a,10.58,no,olivia,father,FATHER: \t Chooklee was a really little kitty.,CHILD: \t and Jacyntha used to bring her for a walk... in a stroller.,FATHER: \t yeah.,FATHER: \t but where's Olivia?,FATHER: \t Olivia.,FATHER: \t maybe Olivia's further on in the story.,"FATHER: \t and anyway one day... when Jacyntha was in the park... and she was picking flowers, Chooklee...",CHILD: \t yeah Chooklee came out of the...,FATHER: \t okay.,FATHER: \t hopped right out of the stroller and ran away and hid.,FATHER: \t she hided behind a tree.,"FATHER: \t and Jacyntha was very upset, wasn't she?",CHILD: \t yeah.,n/a,indefinite
and the policeman... found Chooklee.,olivia_fathertoy.cha,2549,the,a,definite,the,declarative,subject,n/a,10.59,no,olivia,father,CHILD: \t he has a policeman.,FATHER: \t he's got a policeman's hat.,"FATHER: \t and: he's got a policeman's uniform, hasn't he?",CHILD: \t yeah and a whistle for him.,FATHER: \t right.,CHILD: \t see some.,FATHER: \t that's right.,FATHER: \t and there's a little boy here... on a tricycle.,FATHER: \t now.,FATHER: \t we'll see what happens.,FATHER: \t and the policeman... found Chooklee.,FATHER: \t look.,FATHER: \t see him pointing at him?,n/a,definite
"""I found the kitty.""",olivia_mothertoy.cha,707,the,a,definite,the,declarative,object,n/a,10.6,no,olivia,mother,MOTHER: \t so anyway she went out ... into the pipe.,MOTHER: \t and...,CHILD: \t and what happened?,CHILD: \t what?,MOTHER: \t and then she said…,"MOTHER: \t ""I'll find him.""",MOTHER: \t but look what happened to the little boy.,MOTHER: \t he said...,"MOTHER: \t ""look.""","MOTHER: \t ""neither of you are any good.""","MOTHER: \t ""I found the kitty.""","MOTHER: \t ""I have it, see?""",MOTHER: \t so the next thing was...,n/a,definite
"""I don't have a kitty anymore.""",olivia_mothertoy.cha,848,the,a,indefinite,a,declarative,object,n/a,10.61,no,olivia,mother,*MOTHER: \t and he's looking up.,MOTHER: \t and he's saying...,"MOTHER: \t ""oh.""","MOTHER: \t ""look at the kitty up in the tree.""",MOTHER: \t I bet you he can't catch him.,MOTHER: \t now.,MOTHER: \t look at the mommy.,MOTHER: \t she'd say...,"MOTHER: \t ""oh.""","MOTHER: \t ""my kitty is gone now.""","MOTHER: \t ""I don't have a kitty anymore.""",MOTHER: \t there's the policeman.,MOTHER: \t right there.,n/a,indefinite
"give him the box to play with, okay?",patricia_dinner.cha,4086,the,a,definite,the,interrogative,object,n/a,10.62,no,patricia,dinner,FATHER: \t do you know?,CHILD: \t what?,FATHER: \t I'm asking you what was in that box?,CHILD: \t what…,FATHER: \t I asked you.,FATHER: \t do you know?,CHILD: \t [noise],BABY: \t [yell],"MOTHER: \t Usher wants it back, dear.",FATHER: \t Ush wants the box.,"FATHER: \t give him the box to play with, okay?",FATHER: \t and you finish your apple.,"FATHER: \t oh, thank you…",n/a,definite
this is the motor.,patricia_fathertoy.cha,1296,the,a,definite,the,declarative,object,n/a,10.63,yes,patricia,father,FATHER: \t what should we call them?,FATHER: \t should we give them a name?,CHILD: \t what?,FATHER: \t should we give them a name?,CHILD: \t yeah.,FATHER: \t what's in... what's in there? [gasp],"FATHER: \t oh do you know what that is, Patricia?",CHILD: \t what?,FATHER: \t I think it's the motor.,CHILD: \t yeah.,FATHER: \t this is the motor.,FATHER: \t does Abba car... does Abba's car... have a motor?,CHILD: \t yeah...,n/a,definite
it's like the oven at home.,richard_fathertoy.cha,859,the,a,definite,the,declarative,object,n/a,10.64,yes,richard,father,CHILD: \t this is a frigerator.,FATHER: \t no.,FATHER: \t it's not a refrigerator.,FATHER: \t what's it look like?,CHILD: \t it's a... [noise],FATHER: \t does that look like our stove at home?,CHILD: \t our stove?,FATHER: \t yeah.,FATHER: \t here's the oven.,FATHER: \t see?,FATHER: \t it's like the oven at home.,FATHER: \t and let's see what else we have here.,FATHER: \t what's this?,n/a,definite
that's a puppet look.,richard_fathertoy.cha,3161,the,a,indefinite,a,declarative,object,n/a,10.65,yes,richard,father,FATHER: \t who is that?,CHILD: \t Snoopy.,CHILD: \t what's this?,INVESTIGATOR: \t I think it's Grover from Sesame street.,FATHER: \t is that Grover?,INVESTIGATOR: \t it's somebody from Sesame street.,FATHER: \t I think it's Grover too.,FATHER: \t is that Grover?,CHILD: \t yeah.,FATHER: \t yeah?,FATHER: \t that's a puppet look.,FATHER: \t look.,FATHER: \t put your hand in it! [noise],n/a,indefinite
"that's not a girl, Richard.",richard_mothertoy.cha,347,the,a,indefinite,a,declarative,object,n/a,10.66,yes,richard,mother,MOTHER: \t what does the horse say?,MOTHER: \t giddy…,CHILD: \t giddy…,MOTHER: \t giddy up?,CHILD: \t yeah.,MOTHER: \t yeah.,CHILD: \t look.,MOTHER: \t what's that?,CHILD: \t that's the girl.,MOTHER: \t come over here.,"MOTHER: \t that's not a girl, Richard.",MOTHER: \t that's a little rat.,MOTHER: \t so let's sit down and finish with the car.,n/a,indefinite
I'm gonna go to the store and I'm gonna buy some food okay?,richard_mothertoy.cha,1711,the,a,definite,the,interrogative,prepositional,n/a,10.67,no,richard,mother,MOTHER: \t nope.,MOTHER: \t ...right there.,MOTHER: \t try the other buttons.,MOTHER: \t whoop!,MOTHER: \t you have to put those...,MOTHER: \t you hafta put the money back?,MOTHER: \t maybe I need some change.,MOTHER: \t now I'm gonna...,MOTHER: \t look.,MOTHER: \t we're gonna go...,MOTHER: \t I'm gonna go to the store and I'm gonna buy some food okay?,CHILD: \t okay.,MOTHER: \t okay.,n/a,definite
that's the part... I'm interested in.,susan_dinner.cha,1811,the,a,definite,the,declarative,object,n/a,10.68,yes,susan,dinner,FATHER: \t and those are...,FATHER: \t are those milkweed pods?,"FATHER: \t wait a minute, what kind of weeds are those.",CHILD: \t [noise],"MOTHER: \t no, that's clover.",FATHER: \t clover!,FATHER: \t right.,FATHER: \t what a dummy I am.,CHILD: \t [laugh],FATHER: \t but what about the nectar and the pollen?,FATHER: \t that's the part... I'm interested in.,FATHER: \t yes.,CHILD: \t but some...,n/a,definite
would you put it in a bag for us to take home?,susan_fathertoy.cha,2938,the,a,indefinite,a,interrogative,prepositional,n/a,10.69,no,susan,father,FATHER: \t we'd like some eggs first.,"FATHER: \t would you give us some eggs, please?",CHILD: \t okay.,CHILD: \t here's some eggs.,FATHER: \t do you have any on the shelfs?,CHILD: \t oops.,CHILD: \t okay.,CHILD: \t here's... some eggs.,FATHER: \t oh.,FATHER: \t thank you.,FATHER: \t would you put it in a bag for us to take home?,CHILD: \t okay.,CHILD: \t see if I can find a bag.,n/a,indefinite
it's a tight fit.,susan_fathertoy.cha,3565,the,a,indefinite,a,declarative,object,tight,10.7,yes,susan,father,CHILD: \t well would you help me fit it in?,FATHER: \t yes.,FATHER: \t I'll hold the bag open.,CHILD: \t okay.,CHILD: \t [noise],FATHER: \t oop.,CHILD: \t [noise],FATHER: \t yes.,FATHER: \t it's a hard…,CHILD: \t [noise],FATHER: \t it's a tight fit.,CHILD: \t yeah.,FATHER: \t but it fits.,n/a,indefinite
could you turn this one with the screwdriver?,susan_mothertoy.cha,1326,the,a,definite,the,interrogative,prepositional,n/a,10.71,no,susan,mother,CHILD: \t why ?,MOTHER: \t because that one has the spider in it.,MOTHER: \t why are you holding that one all up?,CHILD: \t cause I don't want to have a spider in it.,MOTHER: \t yeah but don't you need it for your nose?,CHILD: \t no I don't.,CHILD: \t I put the booger in it.,MOTHER: \t oh… here…,MOTHER: \t see?,MOTHER: \t put that screw in and I turned it.,MOTHER: \t could you turn this one with the screwdriver?,CHILD: \t no I won't.,MOTHER: \t you won't do that?,n/a,definite
[noise] oh and then you use the screwdriver.,susan_mothertoy.cha,1441,the,a,definite,the,declarative,object,n/a,10.72,no,susan,mother,CHILD: \t there that's a little door for something.,MOTHER: \t hmm... I don't know how this fits in.,CHILD: \t [noise],MOTHER: \t this one's a toughie.,CHILD: \t I'll show you.,CHILD: \t I… I'll help you.,CHILD: \t now these screws go in there.,CHILD: \t these screws go in.,MOTHER: \t uh huh.,CHILD: \t these screws go in there.,MOTHER: \t [noise] oh and then you use the screwdriver.,CHILD: \t is it coming up?,"CHILD: \t Mom, is it coming off?",n/a,definite
she jumped out of the… baby carriage.,susan_mothertoy.cha,1921,the,a,definite,the,declarative,prepositional,n/a,10.73,no,susan,mother,"MOTHER: \t ""help.""","MOTHER: \t ""help.""",MOTHER: \t and there she sees her friend Charlie pretending he's a policeman.,MOTHER: \t and Charlie stops all the traffic and says...,"MOTHER: \t ""I'm a policeman.""","MOTHER: \t ""I can help you.""",MOTHER: \t and [noise] she says...,"MOTHER: \t ""my baby.""","MOTHER: \t ""he's gone.""","MOTHER: \t ""my pussy cat.""",MOTHER: \t she jumped out of the… baby carriage.,MOTHER: \t and Charlie says...,"MOTHER: \t ""she's right behind you.""",n/a,definite
"you hafta call the garage, and they hafta come out to you.",theresa_fathertoy.cha,1321,the,a,definite,the,declarative,object,n/a,10.74,no,theresa,father,CHILD: \t we're out of business.,FATHER: \t [laugh] that's right.,CHILD: \t we're out of this flat tire business.,CHILD: \t ahhah.,CHILD: \t [noise],"FATHER: \t if we had four flat tires, we'd be in big trouble.",CHILD: \t why?,"FATHER: \t cause… we couldn't drive the tires... to a garage to get them fixed, right?",FATHER: \t if you have flat tires on all your tires... how can you go any place?,CHILD: \t no place.,"FATHER: \t you hafta call the garage, and they hafta come out to you.",CHILD: \t I wanna do it.,FATHER: \t okay.,n/a,definite
you mean they thought it was a different cat?,theresa_mothertoy.cha,319,the,a,indefinite,a,interrogative,object,different,10.75,yes,theresa,mother,MOTHER: \t oh.,MOTHER: \t I see.,CHILD: \t they're right here.,MOTHER: \t oh.,MOTHER: \t but she doesn't see the cat does she?,CHILD: \t no.,MOTHER: \t okay.,CHILD: \t and then they all found the cat.,CHILD: \t and then they were looking and she thought that they were ... um different um from their cat.,CHILD: \t so now all of them didn't know that there was that kind of cat in there.,MOTHER: \t you mean they thought it was a different cat?,CHILD: \t yeah.,MOTHER: \t what kind of cat did they think it was?,n/a,indefinite
maybe we can open the cash register.,theresa_mothertoy.cha,2439,the,a,definite,the,declarative,object,n/a,10.76,no,theresa,mother,MOTHER: \t you sell in the store.,MOTHER: \t okay.,MOTHER: \t am I... am I a customer?,"CHILD: \t here, Mommy.",MOTHER: \t well.,MOTHER: \t that...,MOTHER: \t when I pay you... you ring it up on the cash register.,CHILD: \t okay.,CHILD: \t put it on my seat.,MOTHER: \t okay.,MOTHER: \t maybe we can open the cash register.,MOTHER: \t and you can give me some money.,MOTHER: \t and I can come in.,n/a,definite
would you like to be the customer now?,theresa_mothertoy.cha,3407,the,a,definite,the,interrogative,object,n/a,10.77,yes,theresa,mother,CHILD: \t [noise],"CHILD: \t wow, okay.",CHILD: \t strawberry milk.,CHILD: \t Oreos…,MOTHER: \t well.,MOTHER: \t thank you very much.,CHILD: \t [noise],MOTHER: \t goodbye.,CHILD: \t goodbye.,MOTHER: \t okay.,MOTHER: \t would you like to be the customer now?,CHILD: \t yeah.,MOTHER: \t okay.,n/a,definite
they're fixing the store?,ursula_fathertoy.cha,3335,the,a,definite,the,interrogative,object,n/a,10.78,no,ursula,father,FATHER: \t I'm gonna pay you for the groceries.,"FATHER: \t and then we'll put them away on the shelf, okay?",CHILD: \t and I'll put them...,FATHER: \t ah Urs... what're you putting them all in there for?,CHILD: \t cause this is where all your moneys and cents.,CHILD: \t I'll put them in here so they don't…,FATHER: \t and then what... then what're you gonna do?,CHILD: \t no.,CHILD: \t I'm not gonna put them back until later you can't come back here.,CHILD: \t they're fixing the store.,FATHER: \t they're fixing the store?,FATHER: \t oh I see.,CHILD: \t yeah.,n/a,definite
I brought you a present for today's visit.,ursula_fathertoy.cha,3638,the,a,indefinite,a,declarative,object,n/a,10.79,no,ursula,father,FATHER: \t well there she is hi.,INVESTIGATOR: \t hi.,INVESTIGATOR: \t my name is Elise Masur.,INVESTIGATOR: \t I'm also connected with the project.,"FATHER: \t hi, Elise.","INVESTIGATOR: \t hi, Ursula.",FATHER: \t can you say hi to Elise?,FATHER: \t hmm?,CHILD: \t I'm putting my car.,INVESTIGATOR: \t oh I see.,INVESTIGATOR: \t I brought you a present for today's visit.,"CHILD: \t look, Daddy.","FATHER: \t what's that, Urs?",n/a,indefinite
you need to undo it with the screwdriver.,ursula_mothertoy.cha,677,the,a,definite,the,declarative,prepositional,n/a,10.8,no,ursula,mother,CHILD: \t why does it come off?,"MOTHER: \t oh it fell off, I guess.",CHILD: \t can you fix it?,CHILD: \t get it back on.,CHILD: \t here.,MOTHER: \t [noise] we don't need to worry about that.,MOTHER: \t take that...,"MOTHER: \t no, take that off.",MOTHER: \t and then you're gonna do the store.,CHILD: \t what?,MOTHER: \t you need to undo it with the screwdriver.,CHILD: \t I'm not...,CHILD: \t I'm all done now.,n/a,definite
we were calling it the ear.,victor_dinner.cha,2186,the,an,definite,the,declarative,object,n/a,10.81,no,victor,dinner,FATHER: \t oh boy!,CHILD: \t where's Poppa's?,MOTHER: \t he's... busy scraping.,FATHER: \t I ate mine.,CHILD: \t what?,FATHER: \t I ate mine.,CHILD: \t where is it?,FATHER: \t my corn?,CHILD: \t yeah.,FATHER: \t well it was all gone and I took the middle called the cob and I threw it in the trash.,MOTHER: \t we were calling it the ear.,FATHER: \t oh really? [laugh],MOTHER: \t [laugh],n/a,definite
"okay, we got the bug out.",wanda_fathertoy.cha,1320,the,a,definite,the,declarative,object,n/a,10.82,no,wanda,father,"FATHER: \t okay, where's the steeringwheel?","CHILD: \t first we hafta put this back, okay?","FATHER: \t okay, how...",FATHER: \t that's how it goes.,FATHER: \t ... little two things there.,CHILD: \t I still don't know what's the matter with that beep.,"FATHER: \t well, let's see.","FATHER: \t oh, I see what was wrong.",FATHER: \t there was a bug inside.,CHILD: \t oh.,"FATHER: \t okay, we got the bug out.",CHILD: \t don't you put some like some … poison in there.,FATHER: \t some poison so the bug can't come back?,n/a,definite
he wrote what do you do with a kangaroo?,wanda_fathertoy.cha,2567,the,a,indefinite,a,interrogative,prepositional,n/a,10.83,no,wanda,father,CHILD: \t uh huh.,FATHER: \t okay... there we go.,"FATHER: \t okay, let's see okay, what is this called?",FATHER: \t this is called The Great Cat Chase... by Mercer Mayer.,FATHER: \t do you know who he is ?,FATHER: \t he's a... he actually.,CHILD: \t who?,FATHER: \t I believe it is a he.,"FATHER: \t yes, it is a he.",FATHER: \t I always thought it was a she but it's a he.,FATHER: \t he wrote what do you do with a kangaroo?,"CHILD: \t yeah, I know that.",CHILD: \t Mommy told me.,n/a,indefinite
"okay, so she's wheeling her kittycat in a baby stroller.",wanda_fathertoy.cha,2639,the,a,indefinite,a,declarative,prepositional,n/a,10.84,no,wanda,father,CHILD: \t uh huh.,"FATHER: \t she's all dressed up though, huh?",FATHER: \t I'm sure her mommy gave her some clothes.,FATHER: \t a necklace...,FATHER: \t you didn't wear your necklace today.,"FATHER: \t there's the necklace, right?",CHILD: \t uh huh.,FATHER: \t and a purse.,FATHER: \t looks like a purse.,FATHER: \t ...dressed up just like her.,"FATHER: \t okay, so she's wheeling her kittycat in a baby stroller.",FATHER: \t and what happens?,CHILD: \t she picked a flower.,n/a,indefinite
the cat doesn't look too happy.,wanda_fathertoy.cha,2903,the,a,definite,the,declarative,subject,n/a,10.85,no,wanda,father,FATHER: \t kind of like Titch.,CHILD: \t uh huh.,FATHER: \t yeah?,FATHER: \t maybe that's the way it is?,FATHER: \t I bet you.,FATHER: \t so is the cat happy?,FATHER: \t they're all happy.,FATHER: \t but is the cat happy?,CHILD: \t nope.,FATHER: \t no.,FATHER: \t the cat doesn't look too happy.,FATHER: \t so they try to go catch the cat.,FATHER: \t the little brother is kind of fed up with them.,n/a,definite
"okay, and Titch is just kind of, um, coming along for the ride... okay?",wanda_fathertoy.cha,3112,the,a,definite,the,interrogative,prepositional,n/a,10.86,yes,wanda,father,FATHER: \t so they're all tiptoeing after him.,FATHER: \t and Peter Policeman says...,"FATHER: \t ""come here kitty.""","FATHER: \t ""come here.""","FATHER: \t he's beckoning like Michael the Policeman did, right?",CHILD: \t yeah.,"FATHER: \t okay, and Mary Mother is pulling up her dress so she doesn't fall on her nose again.",FATHER: \t was it Mary that fell down or Peter that fell down?,CHILD: \t Peter.,"FATHER: \t ya, Peter.","FATHER: \t okay, and Titch is just kind of, um, coming along for the ride... okay?",FATHER: \t so where's the kittycat going?,CHILD: \t inside this pipe.,n/a,definite
a bottle of milk couldn't be twelve dollars.,wanda_mothertoy.cha,1842,the,a,indefinite,a,declarative,subject,n/a,10.87,yes,wanda,mother,"CHILD: \t twelve dollars, please.",MOTHER: \t twelve dollars!,MOTHER: \t for napkins?,MOTHER: \t that's very expensive.,CHILD: \t they're expensive these days.,MOTHER: \t I'm... I'm gonna have to tell my kids not to use so many napkins if they cost so much.,"MOTHER: \t okay, here's some sugar.",MOTHER: \t how much is the sugar?,CHILD: \t twelve dollars.,MOTHER: \t again.,MOTHER: \t a bottle of milk couldn't be twelve dollars.,MOTHER: \t how much is a bottle of milk?,CHILD: \t uh.,n/a,indefinite
that was a big one.,william_mothertoy.cha,1707,the,a,indefinite,a,declarative,object,big,10.88,yes,william,mother,MOTHER: \t what's the next number after the zero?,CHILD: \t four.,CHILD: \t one.,MOTHER: \t one.,MOTHER: \t what's that?,CHILD: \t four.,MOTHER: \t no.,MOTHER: \t it's two.,CHILD: \t what's all them.,CHILD: \t [noise],MOTHER: \t that was a big one.,"CHILD: \t now, push them all down.",MOTHER: \t push it back in you mean?,n/a,indefinite
you were at the old south church.,william_mothertoy.cha,1848,the,an,definite,the,declarative,prepositional,n/a,10.89,yes,william,mother,"INVESTIGATOR: \t hi, Willie.",CHILD: \t [noise],MOTHER: \t whoops. [laugh],CHILD: \t see?,INVESTIGATOR: \t hi.,INVESTIGATOR: \t my name's Esther Greif.,INVESTIGATOR: \t I'm associated with the…,CHILD: \t I'm painting something.,INVESTIGATOR: \t project.,MOTHER: \t right.,MOTHER: \t you were at the old south church.,CHILD: \t I'm painting something.,INVESTIGATOR: \t right.,n/a,definite
"this is a great car, isn't it?",xavia_mothertoy.cha,203,the,a,indefinite,a,interrogative,object,great,10.9,yes,xavia,mother,"CHILD: \t oh, that's the jack!",MOTHER: \t whoa!,"CHILD: \t there we go... we have a flat tire... jack so [laugh] I mean Paul, so we'll have to, um, put a little thing inside here.","CHILD: \t ...here's the jack, Paul.",CHILD: \t put the screwdriver away.,CHILD: \t put the jack in there.,MOTHER: \t didn't you forget something?,CHILD: \t what?,MOTHER: \t how can we drive this car?,CHILD: \t would ya…,"MOTHER: \t this is a great car, isn't it?",CHILD: \t there we go.,CHILD: \t put the wrench away.,n/a,indefinite
