matched_term,file_name,match_line_number,know_option,think_option,verb,force,comp,subj,unique_id,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set
ya know what this is ?,william_mothertoy.cha,855,know,think,know,interrogative,interrogative,2,6.064,william,mother,*CHI:	no: xxx.,"*MOT:	okay, let's .","*MOT:	oh, let's see what's hiding behind this.",*MOT:	let's see.,*MOT:	whad  do ya think it is?,*CHI:	what?,*MOT:	what is this?,*CHI:	bake  bake tookies  here.,*CHI:	make tookies .,"*MOT:	oh, boy !",*MOT:	ya know what this is?,*CHI:	yeah.,*MOT:	it's a supermarket.,25
do you know how the screw+driver works ?,patricia_mothertoy.cha,178,know,think,know,interrogative,interrogative,2,6.294,patricia,mother,*MOT:	it's yellow.,*MOT:	what else?,*CHI:	does this come out?,*MOT:	I don't know.,*MOT:	let's see what comes apart.,*CHI:	this don't come out.,*MOT:	yeah.,*MOT:	you probably can unscrew it.,*MOT:	do you wanna take the screwdriver and try unscrewing it?,*MOT:	now use the screwdriver.,*MOT:	do you know how the screwdriver works?,*CHI:	yeah.,*MOT:	go ahead.,25
do you know what that is ?,ursula_fathertoy.cha,2903,know,think,know,interrogative,interrogative,2,6.255,ursula,father,*CHI:	a can of milk.,*CHI:	an another   and another can of milk.,"*FAT:	can of milk, huh ?",*CHI:	another can .,*CHI:	two packs of  two cans of milk.,*CHI:	that's all we have.,*CHI:	can't .,*CHI:	we don't sell any more because .,*CHI:	we're gonna give them to you.,*CHI:	what's this?,*FAT:	do you know what that is?,*CHI:	what?,*FAT:	do you know what that's for?,25
do you know what that is ?,isadora_fathertoy.cha,4548,know,think,know,interrogative,interrogative,2,6.269,isadora,father,*INV:	hi  Mr A.,*INV:	my name is Janet Fardella.,*INV:	I'm also with this project.,*FAT:	hi.,*INV:	hi Izzy.,*FAT:	hi.,*INV:	I have a present for you Izzy.,*INV:	that's for today's visit.,*FAT:	oh.,*FAT:	look at that.,*INV:	do you know what that is?,*INV:	who is that?,*FAT:	who is that?,25
you know how we sometimes go to pat the cats and they run away ?,victor_fathertoy.cha,1210,know,think,know,interrogative,interrogative,2,6.038,victor,father,*FAT:	but she saw a policeman so she thought she'd ask for some help.,*FAT:	help@q she said.,*FAT:	 my cat is lost.,*FAT:	you see the policeman?,*CHI:	yeah.,*FAT:	&hmm.,"*FAT:	well, the policeman said, “oh there he is” she said.",*FAT:	 I'll just go get him.,*FAT:	and the policeman went to get the cat but the cat . ran away.,*FAT:	and now .,*FAT:	you know how we sometimes go to pat the cats and they run away?,*CHI:	yeah.,"*FAT:	well, but she wanted her cat back.",25
know what a dime is ?,martin_fathertoy.cha,1713,know,think,know,interrogative,interrogative,2,6.311,martin,father,*FAT:	can I have the cookies now that I just bought?,*CHI:	yeah xxx.,"*FAT:	could I have the cookies please, now that I bought them?",*FAT:	aren't those cookies mine now?,*CHI:	here.,"*FAT:	oh, you wanna give my money back?","*FAT:	well, you took a quarter and a dime you gave me a penny.",*CHI:	xxx dime.,*FAT:	could I have a dime now?,*FAT:	do you have a dime in there?,*FAT:	know what a dime is?,*FAT:	there's a dime.,*FAT:	that's right.,25
Richard you know what else there is ?,richard_mothertoy.cha,1546,know,think,know,interrogative,interrogative,2,6.053,richard,mother,*MOT:	you didn't like that story?,*CHI:	I want the toys.,*MOT:	what?,*CHI:	toys.,*MOT:	what other toys?,*MOT:	you wanna finish the work we did on the car?,*MOT:	wanna try and take the car apart and put it back together?,*CHI:	no.,*MOT:	&hmm?,*CHI:	xxx.,*MOT:	Richard you know what else there is?,*CHI:	yeah.,*MOT:	you know what's in here?,25
"okay (..) , I think they're getting madder and madder .",wanda_fathertoy.cha,3413,know,think,think,declarative,declarative,1,2.167,wanda,father,*FAT:	 where are they?,*FAT:	where are they?,*FAT:	so: .,"*CHI:	look_it, Mom.",*CHI:	Dad look_it.,*CHI:	he's wearing the wrong hat.,*FAT:	he's wearing the wrong hat.,*FAT:	he's wearing Mary Mother's hat.,*FAT:	and Mary Mother is all drenched.,*FAT:	and: the kitty cat runs right back in the sewer pipe.,"*FAT:	okay .., I think they're getting madder and madder.","*FAT:	Peter Policeman doesn't look too happy at alright then, huh?",*FAT:	so they climb back in the sewer pipe and they crawl through it.,25
I thought I saw a list of people who are supposed to feed Brownie .,xavia_dinner.cha,1679,knew,thought,think,declarative,declarative,1,2.182,xavia,dinner,*FAT:	don't eat the rice with your hands.,*MOT:	heavens !,*FAT:	or you'll erase the picture [laughs].,*CHI:	Daddy !,"*MOT:	well anyway, so . is Brownie in your room?",*CHI:	ya already asked me that.,*MOT:	I know but I didn't get really a straight answer.,*FAT:	who's Brownie?,*CHI:	my hamster.,"*FAT:	oh, a hamster.",*MOT:	I thought I saw a list of people who are supposed to feed Brownie.,*MOT:	is that right?,*FAT:	you one of them?,25
"alright , I think that's reasonable .",eddie_mothertoy.cha,3256,know,think,think,declarative,declarative,1,2.244,eddie,mother,*CHI:	but  here's your change.,*MOT:	we .,*MOT:	but you .,*MOT:	why don't you charge me for the soup too?,*MOT:	gonna charge me for this first?,*MOT:	and now . how about the soup?,*MOT:	how much is that?,*CHI:	I don't know.,*MOT:	well just pick a price.,*MOT:	fifty cents.,"*MOT:	alright, I think that's reasonable.",*MOT:	alright now here's my five dollar bill.,*MOT:	so it's a dollar .,25
when Charlie was gonna try and get the pussy cat and the pussy cat runs away <he thinks> [>] it's pretty funny .,susan_mothertoy.cha,2033,knows,thinks,think,declarative,declarative,3,2.015,susan,mother,*MOT:	 you get my pussy cat for me.,*MOT:	&ah notice that this little fella here .,*MOT:	we'll have_to give him a name.,*MOT:	do you know his name?,*CHI:	no.,*MOT:	we have Charlie.,*MOT:	should we name him . Craig?,*CHI:	yeah.,*MOT:	okay that's Craig.,"*MOT:	Craig thinks this is all very funny and first he's getting, kinda",*MOT:	when Charlie was gonna try and get the pussy cat and the pussy cat runs away he thinks  it's pretty funny.,*CHI:	yeah but .,*CHI:	well yeah but I will fix this little cover.,25
"no there's no spider in it , I think we would get a little bit more out if you blow hard .",susan_mothertoy.cha,2086,know,think,think,declarative,declarative,1,2.111,susan,mother,*CHI:	well yeah but I will fix this little cover.,*MOT:	is it coming off a little bit?,*CHI:	yeah.,*MOT:	okay.,*CHI:	oh  oh there's his whistle.,*MOT: [gasp yes he's got a policeman's whistle so there is Charlie],*CHI: [sneezes I'm  I'm  I'm gonna blow my nose].,*CHI:	I know how.,*MOT:	okay.,*CHI:	it doesn't have a spider in it.,"*MOT:	no there's no spider in it, I think we would get a little bit more out if you blow hard.",*CHI: [blows nose].,*MOT:	&ah: that's good.,25
"I think it'd be better in the box , Helen .",helen_fathertoy.cha,2128,know,think,think,declarative,declarative,1,2.337,helen,father,*FAT:	that's like a nine?,*CHI:	yeah.,*CHI:	okay .,*CHI:	that's .,*CHI:	so you put that in a bag.,*FAT:	put that in a  bag.,*CHI:	no .,*CHI:	this is all dirty.,*CHI:	I wanna .,*FAT:	yeah .,"*FAT:	I think it'd be better in the box, Helen.",*CHI:	okay.,*FAT:	here why don't you put everything in the box?,25
I think (.) we're doing something wrong .,guy_fathertoy.cha,2070,know,think,think,declarative,declarative,1,2.104,guy,father,*CHI:	uhhuh.,"*FAT:	well, perhaps we should see if something is &ah !",*FAT:	what have we done wrong?,"*FAT:	&hmm xxx perhaps try that now, Guy.",*CHI:	what?,*CHI:	what?,"*FAT:	try it  try it now, sweetheart.",*FAT:	I don't think that makes a difference.,*FAT:	do you know something?,*CHI:	what?,*FAT:	I think . we're doing something wrong.,*FAT:	&ah !,*FAT:	I know what it is.,25
"oh , (.) I thought we bought everything already .",patricia_mothertoy.cha,2235,knew,thought,think,declarative,declarative,1,2.204,patricia,mother,*CHI:	and eggs.,*MOT:	mhm.,*MOT:	.. okay?,*CHI:	I  I just buy bread.,"*MOT:	okay, now you close it up.",*MOT:	put the cash register away.,"*MOT:	and you can take the eggs home with you cause you paid for them,",*CHI:	I need a shopping list to go shopping.,*MOT:	you need a shopping list?,*CHI:	yeah.,"*MOT:	oh, . I thought we bought everything already.",*MOT:	would you like to go home and read a book?,*MOT:	should  I look for a book?,25
I think [/] I think that's what I thought it was .,wanda_fathertoy.cha,627,know,think,think,declarative,declarative,1,2.026,wanda,father,*CHI:	you hold this.,*FAT:	what is this?,*FAT:	I don't know what this is.,"*FAT:	okay, go ahead.",*CHI:	what ya hafta do?,*FAT:	I'm not quite sure.,*CHI:	I think you hafta hold that.,"*FAT:	oh, I see what this is.","*FAT:	oh, this was a jack.",*CHI:	what does it do?,*FAT:	I think  I think that's what I thought it was.,*FAT:	you think it sits there and holds up the car maybe?,*CHI:	yeah.,25
I thought I <was gonna> [>] .,xavia_fathertoy.cha,825,knew,thought,think,declarative,declarative,1,2.183,xavia,father,*FAT:	okay.,*FAT:	. okay.,*CHI:	bring the change back.,*FAT:	bring the change back tomorrow?,*CHI:	yeah.,*FAT:	okay.,*FAT:	byebye.,*FAT:	I have_to go home now.,*FAT:	and a . oh thank_you.,*FAT:	I have_to go home now and read a  read a book to my little girl,*FAT:	I thought I was gonna .,*CHI:	og@b ga@b  !,*FAT:	I oh  [laughs].,25
I think you gotta go the other direction .,david_mothertoy.cha,1566,know,think,think,declarative,declarative,1,2.074,david,mother,*MOT:	oh.,*MOT:	oh.,*MOT:	look_it.,*MOT:	it's all falling apart.,*MOT:	oh.,*MOT:	I don't .,*MOT:	how are we ever going to get this back together again [laughs]?,*MOT:	here.,*CHI:	is the xxx?,*MOT:	yeah.,*MOT:	I think you gotta go the other direction.,*MOT:	you're making it tighter.,*CHI:	no.,25
I think this one went there .,martin_fathertoy.cha,513,know,think,think,declarative,declarative,1,2.136,martin,father,*CHI:	where's the other whole wheel?,*FAT:	the other wheel's right there.,*CHI:	where's this go?,"*FAT:	gee, I don't know.",*FAT:	&ah maybe it held it in here.,"*FAT:	well, that's right.",*FAT:	it went in there.,*FAT:	is that in there?,"*FAT:	okay, put the wheel down, and you can put it back now.",*CHI:	there.,*FAT:	I think this one went there.,*FAT:	I don't know if it matters.,*FAT:	I don't know where that went I think you can screw .,25
I think you hafta do two more things .,guy_fathertoy.cha,1732,know,think,think,declarative,declarative,1,2.069,guy,father,"*FAT:	it came easily, didn't it?","*FAT:	oh, Guy, sweetheart . see it's still attached here.",*FAT:	you have one more.,*CHI:	xxx okay.,*FAT:	yeah.,*FAT:	oop.,*FAT:	pick it up please.,"*FAT:	now, shall we put it back together?",*CHI:	hunhunh hunhunh not yet.,*CHI:	cause I hafta do one more thing.,*FAT:	I think you hafta do two more things.,*CHI:	what are these?,*FAT:	well . that is called . a bolt.,25
oh I think I xxx do that .,bobby_mothertoy.cha,317,know,think,think,declarative,declarative,1,2.302,bobby,mother,"*CHI:	I don't know, a screw: drive.",*MOT:	right [laughs].,*MOT:	see this isn't so bad either.,*MOT:	it's fun.,*CHI:	why?,*MOT:	xxx go ahead.,*MOT:	let me see if you can take this screw off.,*CHI:	xxx.,*MOT:	this screw went off.,*CHI:	xxx no.,*MOT:	oh I think I xxx do that.,*MOT:	how bout .,*MOT:	how bout if we wanted to get the tire off?,25
<and I think (.) that until she (.) gets herself > [>] +...,helen_dinner.cha,2383,know,think,think,declarative,declarative,1,2.431,helen,dinner,*CHI:	Daddy ?,*MOT:	<her sciatica and the whole thing bothers her a lot more than she,*MOT:	and I think that   .,*CHI:	Daddy that's too much .,"*MOT:	oh, relax Hel .",*MOT:	you eat what you want and what ever you don't want you don't eat,*FAT:	you want some salt on it?,"*CHI:	no, I . .",*CHI:	yeah.,*CHI:	yeah 5..,*MOT:	and I think . that until she . gets herself   .,*FAT:	did you put butter on it ?,*MOT:	yeah .,25
<do you think it's for that> [<] ?,eddie_mothertoy.cha,2608,know,think,think,interrogative,declarative,2,5.093,eddie,mother,*MOT:	can you figure out how that works?,*CHI:	Mommy . I'll get another penny.,*MOT:	oh you know I think that's supposed to be for a tape.,"*MOT:	you know the tape like the Star_market has, Edward?","*MOT:	it's not for pennys dear or money, it's for tape I think.",*MOT:	remember at the Star_market they give you a little ticket?,*MOT:	and the ticket has all the prices on it?,*CHI:	oh yeah that's .,*CHI:	no the tape comes  right out here.,*CHI:	and  I think the money comes.,*MOT:	do you think it's for that ?,*MOT:	right:  .,*CHI:	out here.,25
you think he's gonna get the job ?,susan_dinner.cha,826,know,think,think,interrogative,declarative,2,5.026,susan,dinner,*FAT:	&mm.,*MOT:	I just . have this feeling.,"*MOT:	I don't know, Bob Higgens seems to be more in our . price range",*FAT:	and what was his bid?,*FAT:	three hundred and six hundred?,*MOT:	yeah.,*FAT:	think he's gonna get the job [laughs]?,*MOT:	what [laughs]?,*MOT:	think I'm going to get the job?,*FAT:	no.,*FAT:	you think he's gonna get the job?,"*MOT:	well, I mean, if Sherman comes up with a two thousand for him to","*MOT:	I mean, that's one thousand five hundred dollars difference ",25
do you think you could do that [=! laughs] ?,theresa_mothertoy.cha,1626,know,think,think,interrogative,declarative,2,5.047,theresa,mother,*CHI:	try it xxx.,*CHI:	xxx.,*CHI:	how about if you hold the wheel?,*MOT:	okay.,*MOT:	that's a good idea.,*MOT:	good.,"*MOT:	you're really, &uh.","*MOT:	quite a mechanic there, Theresa.",*MOT:	do you think you could change the tire on our car now?,*MOT:	if we got a flat tire?,*MOT:	do you think you could do that [laughs]?,*MOT:	good.,*CHI:	xxx.,25
ya think they have a Wandy or Wendy there ?,wanda_fathertoy.cha,1425,know,think,think,interrogative,declarative,2,5.029,wanda,father,"*FAT:	yeah, but that's good.",*FAT:	they can steer easy that way.,"*FAT:	okay, let's put the  let's put  let's put the screws back",*CHI:	he'll hafta come back . here.,*FAT:	okay.,*CHI:	maybe they can take turns maybe they can take turns with that ,*FAT:	maybe that would be nice .,"*CHI:	hey,   somebody could sit in the middle.","*FAT:	maybe a little kid .., huh?",*CHI:	yeah.,*FAT:	ya think they have a Wandy or Wendy there?,*CHI:	maybe.,"*FAT:	okay, let's push that .",25
do you think you wanna put those back in there ?,ursula_fathertoy.cha,3281,know,think,think,interrogative,declarative,2,5.04,ursula,father,"*FAT:	you didn't find any play money up there, huh?",*FAT:	I think I see some play money.,*CHI:	oh you couldn't &s .,*FAT:	do you see any play money?,*CHI:	no.,*CHI:	I can't see anything at all.,*FAT:	no?,*CHI:	I can't see anything around here.,*CHI:	xxx we might .,*FAT: [gasp did you find more]?,*FAT:	do you think you wanna put those back in there?,*CHI:	no: I think I &ju .,*FAT:	I'm gonna pay you for the grocerys.,25
you think you could help me tomorrow and get them out ?,susan_dinner.cha,3594,know,think,think,interrogative,declarative,2,5.004,susan,dinner,*FAT:	very incredible girl.,*CHI:	[laughs I'm so incredible that]. I can even do this.,*FAT:	[laughs full of positive affect too].,*CHI:	and looks like that this is pink !,*FAT:	what?,*CHI:	these jammies are pink.,*FAT:	they look yellow to me.,*CHI:	yeah.,*MOT:	I have two very big large boxes of paper in the car.,*FAT:	&mm.,*MOT:	you think you could help me tomorrow and get them out?,*FAT:	okay.,*CHI:	and what is that?,25
you think that's the way she's viewing it ?,charlie_dinner.cha,3754,know,think,think,interrogative,declarative,2,5.014,charlie,dinner,*MOT:	I  I agree but &y your speaking from   the,"*FAT:	well, e  even  even from a <human &uh . from an aesthetic",*CHI:	I spilled some  .,"*CHI:	I spilled some, I spilled some, I spilled some, I spilled some","*FAT:	<I think there's some  supposed to be, what twice as many",*FAT:	does she want that?,*MOT:	I don't know whether she .,"*CHI:	I spilled, I spilled, I spilled .",*FAT:	it seems to me she's taking very much in the attitude of .,*FAT:	 I find pleasure in it right now and it's somebody else's problem,*MOT:	you think that's the way she's viewing it?,*CHI:	I spilled it.,*CHI:	I spilled    .,25
do you think you'd like me to read the story to you .,helen_mothertoy.cha,901,know,think,think,interrogative,declarative,2,5.039,helen,mother,*CHI:	there's a red light.,"*MOT:	okay, why don't .",*MOT:	here.,*MOT:	that's right.,"*MOT:	okay, I think if you use both hands it'll be easier, use one hand","*MOT:	okay, that's right.",*MOT:	go ahead.,"*MOT:	oh, you know you may have_to use one hand to hold the wheel and",*MOT:	Helen?,*CHI:	what?,*MOT:	do you think you'd like me to read the story to you.,*MOT:	would you like to stop and read the story?,*CHI:	no.,25
do you think that it would be +...,frank_dinner.cha,760,know,think,think,interrogative,declarative,2,5.082,frank,dinner,*FAT:	oh.,"*MOT:	Frank, you stop that +/.",*FAT:	don't kick please.,*FAT:	you know what I got . for next month?,*CHI:	what?,*FAT:	two tickets for the Red Sox game.,"*MOT:	you can see  you can see Michael's daddy play, you know",*MOT:	&um . something else.,*MOT:	what else?,*MOT:	oh I'm .,*MOT:	do you think that it would be .,*MOT:	we're very anxious to know when Joshua and Julie are coming home,"*CHI:	Mommy, when will  &um that say something?",25
do you think my kids are going to like these things ?,wanda_fathertoy.cha,1812,know,think,think,interrogative,declarative,2,5.088,wanda,father,*CHI:	dollar?,*FAT:	here's two pennys though.,*CHI:	two pennys.,*FAT:	okay.,*CHI:	gimme xxx.,*FAT:	one more dollar?,"*CHI:	no, I  I'll get that.",*FAT:	that's a_lot_of twelve cents.,*CHI:	yeah [laughs].,*FAT:	twelve cents at least.,*FAT:	do you think my kids are going to like these things?,*CHI:	yeah.,*FAT:	thank goodness you gave me lots_of change.,25
do you think he woke up ?,katie_fathertoy.cha,2188,know,think,think,interrogative,declarative,2,5.106,katie,father,*FAT:	he's sleeping?,*CHI:	yeah.,*FAT:	and what happened to him over here?,*FAT:	is he still sleeping?,*CHI:	yeah.,*FAT:	okay.,*FAT:	and what:  .,*CHI:	dere  it  is.,*CHI:	right here.,*CHI:	over there.,*FAT:	do you think he woke up?,*CHI:	oop I see that wake up.,*FAT:	xxx.,25
or do you think they'll see it before they fall into it .,laurel_mothertoy.cha,1178,know,think,think,interrogative,declarative,2,5.064,laurel,mother,*MOT:	the tunnel goes right through this little mountain.,*MOT:	and the kitty got all the way through.,*MOT:	and he is watching the policeman and the little girl.,*MOT:	and the little boy came through.,*MOT:	and what's on the other side?,*MOT:	do you know what this is?,*CHI:	no.,*MOT:	it's water.,*MOT:	and they're going to fall right into the water.,*MOT:	do you think so?,*MOT:	or do you think they'll see it before they fall into it.,*CHI:	they will.,*CHI:	xxx.,25
you think there might be some money in there ?,laurel_mothertoy.cha,1744,know,think,think,interrogative,declarative,2,5.01,laurel,mother,*MOT:	this is a little store.,*MOT:	you know when I go to the store?,*MOT:	I buy food.,*MOT:	and then the lady rings it all up on the cash register.,*CHI:	yeah.,*MOT:	would you like  would you like for me to buy food?,*CHI:	you play xxx.,*CHI:	xxx put this xxx.,*MOT:	I wonder if they have some money to play with.,*MOT:	you think so?,*MOT:	you think there might be some money in there?,*CHI:	yeah.,*MOT:	how do we open this?,25
you think we'd better put it away ?,frank_fathertoy.cha,2007,know,think,think,interrogative,declarative,2,5.006,frank,father,*CHI:	other food.,*CHI:	other food.,"*FAT:	well, one of them is soap powder.",*CHI:	what's this?,*FAT:	let's see.,*FAT:	that's some soup I think.,*FAT:	that's .,"*CHI:	okay, now it's time to put it away.","*FAT:	okay, now .",*CHI:	cause we better.,*FAT:	you think we'd better put it away?,*CHI:	what's this?,*FAT:	that's a microphone.,25
do you think that they'd really want to get that kitty cat back now ?,wanda_fathertoy.cha,3216,know,think,think,interrogative,declarative,2,5.08,wanda,father,*FAT:	what happened?,*CHI:	fell into water.,*FAT:	that's right.,*FAT:	Peter just fell right in.,*FAT:	went right in the water.,*FAT:	kerplunck@o.,"*FAT:	and Mary almost did, but she saw Peter laying in the water so",*FAT:	and what did she see?,*CHI:	kitty.,*FAT:	the kitty cat.,*FAT:	do you think that they'd really want to get that kitty cat back now?,"*FAT:	or are they getting mad, do you think?",*CHI:	getting mad.,25
